 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
       1      1496.3269      3626.7141          68.42      3961.2627        65.1579         19.488 2025-01-03T00:04:21
       2      1258.0928      2365.3484          58.08      3087.6323        64.6865         19.494 2025-01-03T00:04:21
       3      1307.7439      2641.8926          61.23      3285.4316        65.6741         19.506 2025-01-03T00:04:21
       4      1217.7745      2322.1694          56.94      3026.6877        64.7828         19.516 2025-01-03T00:04:21
       6      1104.0410      1888.0597          52.49      2694.3042        64.6234         19.529 2025-01-03T00:04:21
       7      1125.6588      1922.2728          52.37      2729.9380        64.3143         19.549 2025-01-03T00:04:21
       8      1320.5516      2702.3962          61.58      3330.9814        65.9232         19.565 2025-01-03T00:04:21
       5      1404.6381      3184.8977          62.71      3656.0012        65.8914         19.578 2025-01-03T00:04:21
       9      1496.3269      3626.7141          68.42      3961.2627        65.1579         19.578 2025-01-03T00:04:21
      10      1371.0726      2853.5674          63.38      3458.0859        66.0229         19.592 2025-01-03T00:04:21
      11      1119.7650      1957.6571          52.18      2743.0605        64.4467         19.592 2025-01-03T00:04:21
      12      1430.3293      3121.0176          65.74      3672.6096        68.1771         19.610 2025-01-03T00:04:21
      13       103.1353       217.4399          17.39       364.1804        15.2325          1.996 2025-01-03T00:04:23
      14        52.9664       186.4029          16.66       291.0933        14.4925          1.921 2025-01-03T00:04:23
      15      -505.7903       425.8589          13.89       -79.1253        21.3736          5.204 2025-01-03T00:04:26
      16       -62.2704        23.9843          25.86       290.6165        34.0895          5.318 2025-01-03T00:04:26
      17       259.2216       108.9818          28.21       664.3197        35.0607          5.362 2025-01-03T00:04:26
      18        97.1321        46.8308          25.10       493.4333        37.2886          5.308 2025-01-03T00:04:26
      19      1321.1376      2804.5588          72.27      3284.0063        56.0589          5.401 2025-01-03T00:04:26
      20      -285.2423       136.9451          21.01        44.7042        26.1474          5.400 2025-01-03T00:04:26
      21       -98.5472        73.6238          20.23       281.1819        34.2917          5.374 2025-01-03T00:04:26
      22       -54.8342        16.8336          22.11       277.0468        32.3464          5.443 2025-01-03T00:04:26
      23      -107.0113        30.8481          26.58       180.5802        27.2167          5.497 2025-01-03T00:04:26
      24      -106.5075        41.3647          19.03       263.6477        34.9473          5.445 2025-01-03T00:04:26
      25       116.8334       239.2820          38.13       479.8378        24.3363          4.152 2025-01-03T00:04:27
      26       110.9725       234.5590          37.89       469.0785        24.0826          4.358 2025-01-03T00:04:27
      27        58.9665       231.4695          36.17       398.3127        22.3611          4.333 2025-01-03T00:04:31
      28      -583.5849       560.5090          13.57       -96.2658        20.7065          5.417 2025-01-03T00:04:31
      29       -45.5703       129.8941          34.23       259.8826        24.0506          5.381 2025-01-03T00:04:31
      30        59.5861       227.4378          35.99       395.0545        22.1750          4.373 2025-01-03T00:04:31
      31      -168.2508        51.0941          27.54       151.1443        29.3848          5.380 2025-01-03T00:04:31
      32      -156.1414        74.2625          24.81       238.3992        35.7409          5.417 2025-01-03T00:04:31
      33      -181.5774        77.2912          24.46       161.0600        30.3992          5.492 2025-01-03T00:04:32
      34      -190.1893        68.1833          25.64       127.6025        28.3700          5.357 2025-01-03T00:04:32
      35      -118.6576        29.5413          28.40       198.7268        30.2614          5.547 2025-01-03T00:04:32
      36       180.0587        93.5150          38.13       522.4417        29.5625          5.506 2025-01-03T00:04:32
      37      -449.1118       336.1636          15.94         7.9559        28.8986          5.478 2025-01-03T00:04:32
      38       145.0184        50.3652          35.88       460.3712        29.0170          5.456 2025-01-03T00:04:32
      39       -61.6775       102.6769          14.64        97.9569        10.8296          1.947 2025-01-03T00:04:33
      40        55.6705       219.5564          35.65       383.7327        21.8284          4.101 2025-01-03T00:04:35
      41        58.7746       197.1131          34.59       364.6846        20.7354          4.266 2025-01-03T00:04:36
      42        87.9333        42.6421          29.66       370.3414        26.1087          4.989 2025-01-03T00:04:37
      43      -122.9972        35.7124          28.54       141.4594        24.6600          5.158 2025-01-03T00:04:37
      44        43.4571        22.0586          24.63       363.1266        30.8640          5.125 2025-01-03T00:04:37
      45      -139.5943        41.9810          15.17       124.4315        24.3035          5.214 2025-01-03T00:04:37
      46      -273.9742       204.7942          10.65        78.2208        24.9798          5.237 2025-01-03T00:04:37
      47       209.4921        87.3550          37.73       579.3137        32.6144          5.692 2025-01-03T00:04:37
      48      -147.1710        55.2954          18.88       104.4099        22.3933          5.466 2025-01-03T00:04:37
      49       102.6835        41.2098          25.39       388.0610        26.4773          5.534 2025-01-03T00:04:37
      50       -35.4652        16.4203          21.18       257.0201        28.4275          5.573 2025-01-03T00:04:37
