         Reward       Distance
        15.8000         0.0832
        15.8000         0.0832
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        14.3200         0.0860
        19.7200         0.0936
        19.7200         0.0936
         1.2300         0.0468
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        46.5150         0.2145
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        43.6850         0.2116
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        88.8100         0.3572
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        86.5250         0.3562
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        43.0700         0.2069
        50.7600         0.2252
        72.6500         0.3556
        15.8250         0.0968
        71.8950         0.2841
        41.1550         0.2838
        30.0250         0.2499
        78.8700         0.3553
        19.4800         0.0917
        51.8100         0.2246
        14.5200         0.0895
        16.9950         0.0940
        14.2950         0.0908
        90.5050         0.4771
        33.4500         0.2604
        21.6300         0.2284
        50.1600         0.2575
        17.0350         0.0952
        51.6700         0.2594
        19.0150         0.0936
        51.2150         0.2284
        14.8950         0.0981
        18.1800         0.0933
        15.9050         0.0978
        87.9300         0.3600
        66.9800         0.2787
        15.8750         0.0886
        67.3200         0.2661
        17.2750         0.0943
       114.1000         0.4543
        16.2750         0.0965
        15.1500         0.0898
        19.2000         0.0924
        15.5650         0.0987
        17.1650         0.0959
        35.6900         0.2588
        13.0700         0.0816
        73.7300         0.3553
        19.7150         0.0927
        89.1500         0.3578
        99.4800         0.3844
        16.1500         0.0968
        16.7100         0.0914
        59.2150         0.2841
        52.9550         0.2142
        50.6300         0.2284
        19.0300         0.0917
        50.1300         0.2284
        36.8250         0.2629
        79.9100         0.3591
        77.6000         0.3537
         4.5000         0.1879
        46.5900         0.2189
         4.5000         0.1879
        19.3950         0.0952
        19.3950         0.0952
        19.3950         0.0952
        19.3950         0.0952
        19.3950         0.0952
        60.6100         0.2841
        19.3950         0.0952
        62.5400         0.2559
        19.3950         0.0952
        18.6350         0.0952
        19.3950         0.0952
        19.3950         0.0952
        47.7600         0.2101
        59.2850         0.2632
        62.0450         0.2600
        19.1150         0.0949
        19.1150         0.0949
       106.1350         0.4473
        90.8100         0.3568
        19.1150         0.0949
        19.1150         0.0949
        82.0200         0.3600
       214.5650         0.8700
        17.5750         0.0902
        19.1150         0.0949
        18.8350         0.0946
        15.6100         0.0974
        67.6000         0.2746
        19.0450         0.0955
        19.1150         0.0949
        19.1150         0.0949
        19.1150         0.0949
        17.8950         0.0883
        19.1150         0.0949
        19.3950         0.0952
        19.3950         0.0952
        50.1050         0.2158
        66.3950         0.2689
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        57.1450         0.2515
        19.7200         0.0936
        19.7200         0.0936
        48.7600         0.2268
        66.3250         0.2765
        19.7200         0.0936
        19.7200         0.0936
        59.9150         0.2676
        19.7200         0.0936
        19.7200         0.0936
        14.4450         0.0883
        19.7200         0.0936
       100.5150         0.4451
        19.7200         0.0936
        49.6650         0.2120
        18.1250         0.0905
        62.6300         0.2841
        15.1950         0.0857
       109.3850         0.4483
        46.7150         0.2151
        56.3350         0.2284
        15.7400         0.0864
       102.0300         0.4530
        15.8000         0.0952
        14.7700         0.0978
        80.7350         0.3556
        99.6000         0.4549
        17.0600         0.0971
        65.3250         0.2841
        59.2050         0.2559
        53.2000         0.2224
        67.6600         0.2841
        18.2400         0.0968
        18.7150         0.0968
       152.3800         0.6156
        62.9450         0.2661
        20.0550         0.0940
        17.5550         0.0936
       105.7300         0.4524
        56.5050         0.2284
        16.3050         0.0898
        84.0450         0.3553
       146.3050         0.6387
        59.0950         0.0712
        51.0200         0.2284
       110.3250         0.4511
        65.8250         0.2841
        47.1650         0.2221
        82.2500         0.3565
        65.6100         0.2841
        77.1650         0.3562
        47.9550         0.2284
        52.0250         0.2240
        44.0900         0.2196
        58.5650         0.2841
        14.8600         0.0984
        48.4950         0.2180
        50.0700         0.2173
        95.0750         0.4448
        84.5000         0.3540
        63.2500         0.2841
        17.3700         0.0955
        17.8700         0.0917
        18.3200         0.0962
        90.7950         0.3550
        83.2450         0.3648
        17.5850         0.0984
        71.7450         0.3568
        46.2300         0.2145
        50.4750         0.2199
        69.7400         0.2841
        18.2350         0.0927
        58.5200         0.2841
        16.3050         0.0965
        59.0350         0.2642
        19.1600         0.0949
        18.1800         0.0984
        51.2050         0.2284
        15.3900         0.0921
        65.0400         0.2841
        51.1900         0.2284
       103.9250         0.4445
        44.0950         0.2237
        64.6300         0.2841
        16.5800         0.0984
        53.9150         0.2230
        16.2450         0.0943
       106.8350         0.4521
        16.1750         0.0968
        47.5650         0.2151
       102.7500         0.4499
        88.5250         0.3540
        16.8700         0.0943
        65.0550         0.2841
        17.3500         0.0978
        63.0200         0.2559
         5.4500         0.1879
        92.3750         0.3568
        16.1050         0.0955
         5.4500         0.1879
        19.7200         0.0936
        19.7200         0.0936
        54.2200         0.2275
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        61.5900         0.2610
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        99.7150         0.4499
        19.7200         0.0936
        64.2800         0.2841
        19.7200         0.0936
        50.8600         0.2183
        19.7200         0.0936
        72.3750         0.3565
        19.7200         0.0936
        51.4900         0.2284
        19.7200         0.0936
        87.8300         0.3594
        45.9550         0.2189
        17.8100         0.0930
       110.4000         0.4451
        19.7200         0.0936
        18.4250         0.0959
        19.7200         0.0936
        14.4000         0.0924
        19.7200         0.0936
        52.7600         0.2284
        19.7200         0.0936
        19.7200         0.0936
       102.5100         0.4480
        19.7200         0.0936
        19.5550         0.0940
        79.7150         0.3587
        47.5550         0.2151
        19.3950         0.0952
        19.3950         0.0952
        18.4400         0.0911
        19.1150         0.0949
        19.3950         0.0952
        43.8750         0.2151
        19.3950         0.0952
        19.3950         0.0952
        51.2200         0.2284
        19.6750         0.0955
        19.6750         0.0955
        56.7950         0.2702
        47.3250         0.2208
        19.7200         0.0936
        19.7200         0.0936
       122.0850         0.5653
        19.7200         0.0936
        19.5550         0.0940
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        61.0800         0.2841
        63.4200         0.2841
        74.0950         0.3575
        19.7200         0.0936
       105.1600         0.4451
        19.7200         0.0936
        18.8950         0.0962
        62.5400         0.2841
        45.6800         0.2170
        19.7200         0.0936
        18.4700         0.0968
        60.2750         0.2509
        16.2200         0.0949
        19.7200         0.0936
        14.2550         0.0981
        56.6000         0.2714
        85.1300         0.3565
        48.7450         0.2284
        15.6450         0.0997
        15.6450         0.0997
       121.0650         0.5236
        15.9250         0.1000
        70.9650         0.3565
       124.6750         0.5233
        16.9250         0.0997
        86.4700         0.3635
        17.9550         0.0965
        63.1750         0.2667
        86.4250         0.3591
        52.0600         0.2214
        15.7600         0.0936
        14.6050         0.0974
        19.8300         0.0946
        62.6400         0.2841
        19.7200         0.0936
