 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
       1      1007.0604      1540.1068          45.90      2311.5308        53.4417         76.623 2024-12-29T16:19:23
       2       989.0389      1486.3164          45.23      2259.8904        52.7693         77.058 2024-12-29T16:19:23
       3       933.7209      1348.3131          43.21      2115.3940        50.7516         77.118 2024-12-29T16:19:23
       4       934.2120      1347.7400          43.18      2115.3296        50.7248         77.131 2024-12-29T16:19:23
       5       932.8134      1344.1428          43.06      2110.9077        50.6023         77.423 2024-12-29T16:19:24
       6       958.1456      1410.0537          44.08      2179.3965        51.6224         77.431 2024-12-29T16:19:24
       7       932.0440      1341.3881          43.05      2108.6194        50.5881         77.518 2024-12-29T16:19:24
       8       934.0535      1348.4178          43.13      2114.9580        50.6696         77.545 2024-12-29T16:19:24
       9       932.5181      1345.0114          43.10      2111.4480        50.6424         77.758 2024-12-29T16:19:24
      10       933.7209      1348.3131          43.21      2115.3940        50.7516         78.059 2024-12-29T16:19:24
      11       931.1097      1338.3308          43.04      2106.0769        50.5802         78.108 2024-12-29T16:19:24
      12       933.5174      1346.0510          43.10      2112.9160        50.6373         79.055 2024-12-29T16:19:25
      13       509.4382       620.6309          28.59      1155.4158        33.5662         15.388 2024-12-29T16:19:39
      14       428.3067       286.3726          28.35       930.3430        35.8850         21.540 2024-12-29T16:19:45
      15       777.7820       911.8108          39.32      1702.3022        46.8615         21.905 2024-12-29T16:19:45
      16      1067.9005      1784.0627          50.26      2537.9238        57.7992         22.429 2024-12-29T16:19:45
      17      -128.7731        28.6294          14.68       107.7458        22.2204         21.418 2024-12-29T16:19:45
      18        76.7209        11.3369          21.16       369.3791        28.6990         21.843 2024-12-29T16:19:45
      19       -46.8538         6.0030          16.26       194.1823        23.8034         22.180 2024-12-29T16:19:46
      20       576.5245       497.7844          33.74      1238.1724        41.2756         22.412 2024-12-29T16:19:46
      21       -44.5908         5.5541          16.35       197.0523        23.8866         22.691 2024-12-29T16:19:46
