         Reward       Distance
         0.0000         0.0927
         0.0000         0.0772
         0.0000         0.0718
         0.0000         0.0997
         0.0000         0.0984
         0.0000         0.0997
         0.0000         0.0895
         0.0000         0.0993
         0.0000         0.0993
         0.0000         0.0705
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0408
         0.0000         0.0886
         0.0000         0.2284
         0.0000         0.2107
         0.0000         0.1680
         0.0000         0.2088
         0.0000         0.2661
         0.0000         0.2211
         0.0000         0.2151
         0.0000         0.2259
         0.0000         0.0468
         0.0000         0.0750
         0.0000         0.2825
         0.0000         0.0582
         0.0000         0.1373
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0516
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2066
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0658
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0857
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.1879
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2740
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2186
         0.0000         0.0987
         0.0000         0.2537
         0.0000         0.0557
         0.0000         0.2683
         0.0000         0.2085
         0.0000         0.2971
         0.0000         0.2825
         0.0000         0.0911
         0.0000         0.2145
         0.0000         0.2265
         0.0000         0.0592
         0.0000         0.0658
         0.0000         0.2284
         0.0000         0.0791
         0.0000         0.0645
         0.0000         0.0364
         0.0000         0.0620
         0.0000         0.2281
         0.0000         0.0889
         0.0000         0.0677
         0.0000         0.2284
         0.0000         0.1373
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.1373
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2205
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2275
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2755
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2284
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2648
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0892
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2613
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2249
         0.0000         0.0965
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2120
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2237
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2262
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2256
         0.0000         0.2635
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0816
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0848
         0.0000         0.0936
         0.0000         0.0819
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2037
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0740
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2104
         0.0000         0.0936
         0.0000         0.2097
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2623
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2509
         0.0000         0.0936
         0.0000         0.0649
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0895
         0.0000         0.0936
         0.0000         0.2771
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2237
         0.0000         0.0936
         0.0000         0.2265
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0721
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0478
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2192
         0.0000         0.0936
         0.0000         0.0576
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2284
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.2199
