         Reward       Distance
         1.0000         0.0981
         1.0000         0.0981
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         0.0000         0.0588
         0.0000         0.0538
         0.0000         0.0753
         1.0000         0.0981
         1.0000         0.0981
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         0.0000         0.0955
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         4.0000         0.2793
         1.0000         0.0993
         1.0000         0.0993
         6.0000         0.3584
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         3.0000         0.2284
         3.0000         0.1835
         1.0000         0.0993
         3.0000         0.2211
         3.0000         0.2037
         3.0000         0.1632
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         0.0000         0.0911
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         3.0000         0.2053
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         3.0000         0.2284
         1.0000         0.0993
         3.0000         0.2284
         0.0000         0.0471
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         3.0000         0.2252
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
         1.0000         0.0993
