 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
       1      -101.9845        25.7830          -4.30       -89.0930         0.0000         19.317 2025-01-02T21:27:36
       2       -52.5482        27.6437          -3.17       -38.7264         0.0000         19.325 2025-01-02T21:27:36
       3       -22.1197         0.8536          -1.10       -21.6929         0.0000         19.391 2025-01-02T21:27:36
       5       332.5821       201.6207          11.90       433.3925         0.0000         19.400 2025-01-02T21:27:36
       7       211.3077        71.4754           8.90       247.0454         0.0000         19.410 2025-01-02T21:27:36
       6       -85.6567        38.0822          -3.87       -66.6156         0.0000         19.405 2025-01-02T21:27:36
       8       -30.6576         8.8417          -0.30       -26.2367         0.0000         19.422 2025-01-02T21:27:36
      10        12.0470        27.3724           0.50        25.7331         0.0000         19.430 2025-01-02T21:27:36
       4       307.5890       176.4875          11.10       395.8328         0.0000         19.397 2025-01-02T21:27:36
      11        18.2946         1.4207           0.80        19.0049         0.0000         19.458 2025-01-02T21:27:36
       9      -124.0825        39.8311          -4.79      -104.1670         0.0000         19.428 2025-01-02T21:27:36
      12       -22.1197         0.8536          -1.10       -21.6929         0.0000         19.492 2025-01-02T21:27:36
      13      -154.2528        40.5354          -2.20      -133.9851         0.0000          4.558 2025-01-02T21:27:41
      14        40.2862        46.2272           6.52        63.3998         0.0000          4.559 2025-01-02T21:27:41
      15      -173.1817        65.3379          -0.10      -140.5128         0.0000          4.570 2025-01-02T21:27:41
      16       529.4982       505.4633          29.09       782.2299         0.0000          4.513 2025-01-02T21:27:41
      17       339.5564       348.5287          20.41       513.8208         0.0000          4.614 2025-01-02T21:27:41
      18      -298.8076       280.7705          -2.78      -158.4223         0.0000          4.603 2025-01-02T21:27:41
      19       -83.8019        44.4951          -0.66       -61.5543         0.0000          4.802 2025-01-02T21:27:41
      20       153.4013       175.8353           8.90       241.3189         0.0000          5.240 2025-01-02T21:27:41
      21       173.3800       106.0658           9.62       226.4129         0.0000          5.254 2025-01-02T21:27:41
      22       -66.8202        10.4278          -0.20       -61.6063         0.0000          5.240 2025-01-02T21:27:41
      23       548.5986       540.6494          29.09       818.9233         0.0000          5.263 2025-01-02T21:27:41
      24      -115.1535        35.9060          -0.60       -97.2005         0.0000          5.234 2025-01-02T21:27:41
      25       -49.3536        24.9776           3.00       -36.8647         0.0000          4.378 2025-01-02T21:27:45
      26      -111.0575        20.3528          -1.10      -100.8812         0.0000          4.343 2025-01-02T21:27:45
      27      -212.5278       190.9118           0.05      -117.0719         0.0000          4.387 2025-01-02T21:27:45
      28      -165.0804        70.4477          -1.30      -129.8566         0.0000          4.474 2025-01-02T21:27:45
      29        29.9802        33.9927           7.80        46.9766         0.0000          4.573 2025-01-02T21:27:45
      30      -294.6718       139.7250         -11.08      -224.8093         0.0000          4.588 2025-01-02T21:27:45
      31      -183.4778        61.0110          -4.29      -152.9723         0.0000          4.623 2025-01-02T21:27:46
      32       -35.1713        14.4909           2.21       -27.9259         0.0000          4.486 2025-01-02T21:27:46
      33      -356.0141       223.1542         -10.07      -244.4370         0.0000          4.530 2025-01-02T21:27:46
      34      -128.0442        28.6149           1.60      -113.7368         0.0000          4.542 2025-01-02T21:27:46
      35       284.1044       227.2005          14.90       397.7047         0.0000          4.571 2025-01-02T21:27:46
      36         1.4339        31.4591           3.35        17.1634         0.0000          4.722 2025-01-02T21:27:46
      37      -174.5063       103.8780          -4.09      -122.5673         0.0000          2.973 2025-01-02T21:27:48
      38      -110.4613        20.4173          -1.10      -100.2526         0.0000          4.460 2025-01-02T21:27:50
      39       146.8267        64.6045           8.30       179.1290         0.0000          4.400 2025-01-02T21:27:50
      40       -97.9498        25.0954           2.50       -85.4021         0.0000          4.576 2025-01-02T21:27:50
      41      -198.5643        73.2229          -3.18      -161.9529         0.0000          4.668 2025-01-02T21:27:50
      42       -20.5425        17.1414           3.14       -11.9718         0.0000          4.562 2025-01-02T21:27:50
      43      -182.9878        90.0026           0.10      -137.9865         0.0000          4.537 2025-01-02T21:27:50
      44        86.8647        38.2975           8.90       106.0134         0.0000          4.454 2025-01-02T21:27:50
      45       -35.3642        15.3191           2.10       -27.7047         0.0000          4.473 2025-01-02T21:27:50
      46       211.2792       163.1681          11.20       292.8633         0.0000          4.476 2025-01-02T21:27:51
      47       -42.3725        20.9711           4.00       -31.8870         0.0000          4.701 2025-01-02T21:27:51
