         Reward       Distance
        10.4400         0.0683
         5.4350         0.0582
        49.0750         0.2284
        16.6850         0.0914
         8.1700         0.0734
        35.9950         0.2148
       -10.3300         0.0174
        11.6400         0.0766
        15.1850         0.0993
        15.1850         0.0993
        39.5950         0.2148
        15.1850         0.0993
        15.1850         0.0993
        43.1100         0.2230
        18.1900         0.0943
        46.0750         0.2531
        77.9700         0.3597
        53.2200         0.2170
        16.4550         0.0857
        17.8300         0.0971
        48.1650         0.2841
        16.9300         0.0924
        16.3950         0.0940
       105.4900         0.4812
        13.4400         0.0857
        18.3900         0.0936
        55.5850         0.2275
        70.1600         0.3635
        44.5800         0.2107
        51.4050         0.2104
        72.0050         0.3600
        47.6000         0.2177
        32.9350         0.2841
        83.2950         0.4451
        19.7200         0.0936
        58.6650         0.2626
        19.7200         0.0936
        49.5350         0.2284
        39.9400         0.2841
        50.3950         0.2104
        18.2350         0.0917
        19.5750         0.0927
        16.8550         0.0930
        19.7200         0.0936
        60.9400         0.2724
        19.3400         0.0952
        52.6200         0.2097
        19.7200         0.0936
        17.9350         0.0949
        19.7200         0.0936
        19.7200         0.0936
       107.1400         0.4809
        59.1350         0.3432
        19.7200         0.0936
        19.7200         0.0936
        96.5200         0.3901
        82.6300         0.3568
        19.7200         0.0936
        17.7100         0.0962
        55.1300         0.2284
        19.7200         0.0936
        17.4600         0.0962
        82.5500         0.3572
        19.9250         0.0936
        45.6050         0.2284
        19.7200         0.0936
       106.0450         0.4499
        15.1350         0.0974
        44.8550         0.2142
        19.7200         0.0936
        -5.0300         0.1901
        79.6800         0.3562
        19.7200         0.0936
        46.4150         0.2148
       100.7300         0.4473
        44.8100         0.2164
        19.7200         0.0936
       180.4400         1.0000
        19.7200         0.0936
        19.7200         0.0936
        44.4800         0.2154
        19.7200         0.0936
        60.3000         0.2730
        19.7200         0.0936
        19.7200         0.0936
        19.7200         0.0936
        46.7400         0.2196
        82.4500         0.3562
        19.7200         0.0936
        83.8100         0.3648
        19.7200         0.0936
        18.9700         0.0974
        19.7200         0.0936
       110.2750         0.4435
        19.7200         0.0936
        17.0300         0.0876
        18.8000         0.0911
        19.7200         0.0936
        19.7200         0.0936
        82.1400         0.3926
        19.7200         0.0936
        15.8750         0.0981
        19.7200         0.0936
        18.8350         0.0946
       107.8350         0.4454
        50.1400         0.2240
        18.3950         0.0955
        17.9550         0.0965
        12.6300         0.0731
        17.9550         0.0965
       129.5200         0.5214
        17.9550         0.0965
        57.8850         0.2604
        18.5150         0.0971
        18.3950         0.0955
