 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
       1         0.6341         0.0057           0.00         0.6370         0.0000         69.750 2024-12-29T16:23:36
       2        -0.0163         0.0057           0.00        -0.0135         0.0000         70.169 2024-12-29T16:23:37
       3         0.4961         0.0046           0.00         0.4984         0.0000         70.390 2024-12-29T16:23:37
       4         0.2627         0.0053           0.00         0.2653         0.0000         70.405 2024-12-29T16:23:37
       5        -0.3125         0.0054           0.00        -0.3098         0.0000         70.438 2024-12-29T16:23:37
       6        -0.1464         0.0063           0.00        -0.1433         0.0000         70.576 2024-12-29T16:23:37
       7        -0.1239         0.0059           0.00        -0.1209         0.0000         70.735 2024-12-29T16:23:37
       8         0.0830         0.0051           0.00         0.0856         0.0000         70.754 2024-12-29T16:23:37
       9        -0.2895         0.0060           0.00        -0.2865         0.0000         70.832 2024-12-29T16:23:37
      10        -0.0048         0.0068           0.00        -0.0014         0.0000         71.007 2024-12-29T16:23:38
      11         0.2927         0.0096           0.00         0.2975         0.0000         71.066 2024-12-29T16:23:38
      12        -0.3125         0.0054           0.00        -0.3098         0.0000         71.848 2024-12-29T16:23:38
      13        17.3565         0.4664           0.00        17.5897         0.0000         18.540 2024-12-29T16:23:55
      14       197.3126        60.9174           0.00       227.7712         0.0000         17.912 2024-12-29T16:23:55
      15       198.4932        60.6451           0.00       228.8157         0.0000         18.374 2024-12-29T16:23:55
      16        53.9332         4.8620           0.00        56.3642         0.0000         18.743 2024-12-29T16:23:55
      17       333.0457       188.3166           0.00       427.2040         0.0000         18.218 2024-12-29T16:23:56
      18       197.7198        59.7773           0.00       227.6085         0.0000         18.750 2024-12-29T16:23:56
      19       302.1199       158.7346           0.00       381.4872         0.0000         18.486 2024-12-29T16:23:56
      20       393.1926       234.3879           0.00       510.3865         0.0000         18.611 2024-12-29T16:23:56
      21       247.0202        94.3709           0.00       294.2057         0.0000         18.931 2024-12-29T16:23:56
      22       473.9619       346.4537           0.00       647.1888         0.0000         18.632 2024-12-29T16:23:56
      23       220.3031        74.7701           0.00       257.6881         0.0000         18.749 2024-12-29T16:23:56
      24       497.4281       416.2001           0.00       705.5281         0.0000         18.527 2024-12-29T16:23:57
      25        27.8834         2.3305           0.00        29.0487         0.0000          7.194 2024-12-29T16:24:03
      26       128.2646        32.9445           0.00       144.7369         0.0000         16.842 2024-12-29T16:24:12
      27       202.0664        64.1574           0.00       234.1452         0.0000         20.378 2024-12-29T16:24:15
      28       119.7756        21.7499           0.00       130.6506         0.0000         20.599 2024-12-29T16:24:15
      29        96.0913        14.0459           0.00       103.1142         0.0000         20.222 2024-12-29T16:24:16
      30        68.2096         6.9205           0.00        71.6698         0.0000         20.408 2024-12-29T16:24:16
      31       111.3175        19.8244           0.00       121.2297         0.0000         20.579 2024-12-29T16:24:16
      33        84.0111        10.6310           0.00        89.3266         0.0000         20.656 2024-12-29T16:24:17
      32        53.5954         4.2927           0.00        55.7418         0.0000         20.808 2024-12-29T16:24:17
      34        70.5257         7.4324           0.00        74.2419         0.0000         20.941 2024-12-29T16:24:17
      35        27.3315         1.0646           0.00        27.8638         0.0000         21.061 2024-12-29T16:24:17
      36        50.9516         3.8896           0.00        52.8964         0.0000         21.036 2024-12-29T16:24:18
      37        42.8293         2.6907           0.00        44.1747         0.0000         18.965 2024-12-29T16:24:22
      38        35.3143         1.8049           0.00        36.2168         0.0000         18.057 2024-12-29T16:24:30
      39        -3.9502         0.0618           0.00        -3.9193         0.0000         18.395 2024-12-29T16:24:34
