         Reward       Distance
         0.0000         0.0759
         0.0000         0.0933
         0.0000         0.0541
         0.0000         0.0424
         0.0000         0.0402
         0.0000         0.0927
         0.0000         0.0291
         0.0000         0.0288
         0.0000         0.0785
         0.0000         0.0997
         0.0000         0.0993
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0978
         0.0000         0.0978
         0.0000         0.0990
         0.0000         0.1879
         0.0000         0.2088
         0.0000         0.1613
         0.0000         0.1829
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.1651
         0.0000         0.2177
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.1813
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.2040
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0886
         0.0000         0.0990
         0.0000         0.1737
         0.0000         0.0990
         0.0000         0.0528
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0927
         0.0000         0.0990
         0.0000         0.0990
         0.0000         0.0971
         0.0000         0.0411
         0.0000         0.1629
         0.0000         0.1819
         0.0000         0.0902
         0.0000         0.2284
         0.0000         0.2221
         0.0000         0.2844
         0.0000         0.1664
         0.0000         0.2278
         0.0000         0.1879
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2246
         0.0000         0.1879
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2129
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0816
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.2632
         0.0000         0.0997
         0.0000         0.0490
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0762
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0997
         0.0000         0.0984
         0.0000         0.0984
         0.0000         0.2186
         0.0000         0.0993
         0.0000         0.1835
         0.0000         0.0582
         0.0000         0.2034
         0.0000         0.2107
         0.0000         0.2278
         0.0000         0.2034
         0.0000         0.2177
         0.0000         0.2699
         0.0000         0.1762
         0.0000         0.1835
         0.0000         0.1373
         0.0000         0.1373
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.1784
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
