 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
       1        -8.2146         0.1473           0.00        -8.1410         0.0000         94.364 2025-01-04T12:26:33
       2        -8.9779         0.1655           0.00        -8.8951         0.0000         94.439 2025-01-04T12:26:33
       3        -9.3805         0.1755           0.00        -9.2927         0.0000         94.649 2025-01-04T12:26:33
       5        -9.0516         0.1706           0.00        -8.9663         0.0000         94.650 2025-01-04T12:26:33
       4        -9.2513         0.1758           0.00        -9.1634         0.0000         94.659 2025-01-04T12:26:33
       7        16.5031         1.8399           1.00        17.4231         0.0000         94.803 2025-01-04T12:26:33
       6       -10.0059         0.1918           0.00        -9.9100         0.0000         94.786 2025-01-04T12:26:33
       8        -8.9779         0.1655           0.00        -8.8951         0.0000         94.830 2025-01-04T12:26:33
       9       -11.2894         0.2503           0.00       -11.1643         0.0000         94.877 2025-01-04T12:26:33
      10        -9.2290         0.1714           0.00        -9.1434         0.0000         94.918 2025-01-04T12:26:33
      11        -9.4199         0.1796           0.00        -9.3301         0.0000         95.153 2025-01-04T12:26:33
      12        -9.2069         0.1743           0.00        -9.1198         0.0000         95.191 2025-01-04T12:26:33
      13        61.1475         5.6199           0.00        63.9575         0.0000         16.705 2025-01-04T12:26:49
      14        15.6240         0.3321           0.00        15.7900         0.0000         16.942 2025-01-04T12:26:50
      15       108.5336        19.7932           0.00       118.4302         0.0000         16.886 2025-01-04T12:26:50
      16       207.2701        67.2161           0.00       240.8782         0.0000         16.754 2025-01-04T12:26:50
      17        97.2650        14.5712           0.00       104.5506         0.0000         16.879 2025-01-04T12:26:50
      18       219.0444        73.5445           0.00       255.8166         0.0000         16.805 2025-01-04T12:26:50
      19       141.3516        30.5756           0.00       156.6394         0.0000         17.186 2025-01-04T12:26:50
      20       121.2891        22.3919           0.00       132.4850         0.0000         17.263 2025-01-04T12:26:50
      21       122.9246        27.0975           1.00       136.4733         0.0000         17.243 2025-01-04T12:26:50
      22       143.9332        31.5756           0.00       159.7211         0.0000         17.465 2025-01-04T12:26:50
      23       245.1863        98.3950           0.00       294.3838         0.0000         17.252 2025-01-04T12:26:51
      24       269.9498       112.3925           0.00       326.1460         0.0000         17.265 2025-01-04T12:26:51
      25       241.8766        92.4322           0.00       288.0927         0.0000         17.031 2025-01-04T12:27:06
      26       190.6752        57.4997           0.00       219.4250         0.0000         16.634 2025-01-04T12:27:06
      27       109.5932        18.2142           0.00       118.7003         0.0000         16.389 2025-01-04T12:27:07
      28        91.7300        13.9655           1.00        98.7128         0.0000         16.858 2025-01-04T12:27:07
      29       164.4679        41.4127           0.00       185.1743         0.0000         16.908 2025-01-04T12:27:07
      30       184.6218        52.0280           0.00       210.6358         0.0000         17.346 2025-01-04T12:27:07
      31       110.8606        18.5685           0.00       120.1449         0.0000         17.199 2025-01-04T12:27:07
      32       144.0390        31.5537           0.00       159.8158         0.0000         17.093 2025-01-04T12:27:07
      33        29.1580         1.5439           0.00        29.9300         0.0000         16.822 2025-01-04T12:27:07
      34        47.4825         3.5485           0.00        49.2567         0.0000         16.918 2025-01-04T12:27:07
      35        83.6021        11.0308           0.00        89.1175         0.0000         16.646 2025-01-04T12:27:07
      36        21.0975         1.0434           0.00        21.6192         0.0000         17.332 2025-01-04T12:27:08
      37        50.9682         4.4151           0.00        53.1757         0.0000         16.344 2025-01-04T12:27:23
      38        22.8463         0.8060           0.00        23.2492         0.0000         16.311 2025-01-04T12:27:23
      39        49.6920         3.9946           0.00        51.6893         0.0000         16.924 2025-01-04T12:27:23
      40        -7.7320         0.2181           0.00        -7.6230         0.0000         16.688 2025-01-04T12:27:23
      41       -28.4369         2.8541           1.00       -27.0099         0.0000         16.474 2025-01-04T12:27:24
      42         1.5334         0.2765           0.00         1.6716         0.0000         16.966 2025-01-04T12:27:24
      43       -22.8154         1.0454           0.00       -22.2927         0.0000         17.117 2025-01-04T12:27:24
      44       -13.4537         0.7162           0.00       -13.0956         0.0000         17.303 2025-01-04T12:27:24
      45       -15.2371         0.5941           0.00       -14.9400         0.0000         17.051 2025-01-04T12:27:24
      46       -14.4977         1.8174           1.00       -13.5890         0.0000         17.390 2025-01-04T12:27:25
      47       -33.7457         2.0216           0.00       -32.7349         0.0000         17.274 2025-01-04T12:27:25
      48       -45.9930         3.4825           0.00       -44.2518         0.0000         16.870 2025-01-04T12:27:25
      49       -21.1401         5.4900          -1.00       -18.3951         0.0000          1.979 2025-01-04T12:27:27
      50       -36.2203         2.2389           0.00       -35.1008         0.0000         16.701 2025-01-04T12:27:39
      51       -42.9162         3.0436           0.00       -41.3944         0.0000         16.852 2025-01-04T12:27:40
      52       -39.3394         2.5927           0.00       -38.0430         0.0000         16.638 2025-01-04T12:27:40
      53       -51.9910         4.4842           0.00       -49.7490         0.0000         16.860 2025-01-04T12:27:40
      54       -46.0221         3.5052           0.00       -44.2695         0.0000         16.660 2025-01-04T12:27:40
      55       -11.4556         3.1584           2.00        -9.8764         0.0000         16.594 2025-01-04T12:27:41
      56       -61.4297         6.1098           0.00       -58.3748         0.0000         17.026 2025-01-04T12:27:41
      57       -27.4035         2.8833           1.00       -25.9619         0.0000         16.814 2025-01-04T12:27:41
      58       -30.8923         2.8554           1.00       -29.4646         0.0000         16.870 2025-01-04T12:27:41
      59       -61.1529         6.0991           0.00       -58.1034         0.0000         16.757 2025-01-04T12:27:41
      60       -60.1159         5.8818           0.00       -57.1749         0.0000         17.035 2025-01-04T12:27:42
      61       -65.4286         6.8856           0.00       -61.9859         0.0000         16.270 2025-01-04T12:27:43
