         Reward       Distance
        -1.0000         0.0332
         0.0000         0.0838
         0.0000         0.0936
         0.0000         0.0911
         0.0000         0.0936
         0.0000         0.0933
         0.0000         0.0940
        -1.0000         0.0399
         3.0000         0.2284
         0.0000         0.0949
         0.0000         0.0936
         0.0000         0.0952
         3.0000         0.2173
         1.0000         0.0978
         1.0000         0.0978
         0.0000         0.0668
         3.0000         0.2116
         2.0000         0.1686
         3.0000         0.2059
         3.0000         0.2053
         3.0000         0.2082
         3.0000         0.2259
         3.0000         0.2078
         2.0000         0.1734
         0.0000         0.0645
         3.0000         0.2268
         0.0000         0.0851
         0.0000         0.0645
         2.0000         0.1829
         0.0000         0.0911
         1.0000         0.1373
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         2.0000         0.1879
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2135
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2224
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0902
         0.0000         0.0943
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2284
         0.0000         0.0936
         0.0000         0.0936
         1.0000         0.0965
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2107
         0.0000         0.0936
         0.0000         0.0927
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         4.0000         0.2841
         3.0000         0.2284
         5.0000         0.2876
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2211
         3.0000         0.2284
         0.0000         0.0936
         3.0000         0.2284
         0.0000         0.0936
         0.0000         0.0940
         0.0000         0.0930
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0927
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2284
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0924
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0924
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2243
         0.0000         0.0936
         0.0000         0.0933
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2091
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
         3.0000         0.2284
         3.0000         0.2284
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0933
         0.0000         0.0936
         0.0000         0.0936
         0.0000         0.0936
